,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability,Mutation_type,Crossover_type
357,1000000,1.0,100,2.0,0.5,Uniform,Linear_combination_crossover
358,1000000,1.0,100,2.0,0.6,Uniform,Linear_combination_crossover
359,1000000,1.0,100,2.0,0.7,Uniform,Linear_combination_crossover
360,1000000,1.0,100,5.0,0.5,Uniform,Linear_combination_crossover
361,1000000,1.0,100,5.0,0.6,Uniform,Linear_combination_crossover
362,1000000,1.0,100,5.0,0.7,Uniform,Linear_combination_crossover
363,1000000,1.0,200,0.01,0.5,Uniform,Linear_combination_crossover
364,1000000,1.0,200,0.01,0.6,Uniform,Linear_combination_crossover
365,1000000,1.0,200,0.01,0.7,Uniform,Linear_combination_crossover
366,1000000,1.0,200,0.25,0.5,Uniform,Linear_combination_crossover
367,1000000,1.0,200,0.25,0.6,Uniform,Linear_combination_crossover
368,1000000,1.0,200,0.25,0.7,Uniform,Linear_combination_crossover
369,1000000,1.0,200,0.55,0.5,Uniform,Linear_combination_crossover
370,1000000,1.0,200,0.55,0.6,Uniform,Linear_combination_crossover
371,1000000,1.0,200,0.55,0.7,Uniform,Linear_combination_crossover
372,1000000,1.0,200,0.9,0.5,Uniform,Linear_combination_crossover
373,1000000,1.0,200,0.9,0.6,Uniform,Linear_combination_crossover
374,1000000,1.0,200,0.9,0.7,Uniform,Linear_combination_crossover
375,1000000,1.0,200,2.0,0.5,Uniform,Linear_combination_crossover
376,1000000,1.0,200,2.0,0.6,Uniform,Linear_combination_crossover
377,1000000,1.0,200,2.0,0.7,Uniform,Linear_combination_crossover
378,1000000,1.0,200,5.0,0.5,Uniform,Linear_combination_crossover
379,1000000,1.0,200,5.0,0.6,Uniform,Linear_combination_crossover
380,1000000,1.0,200,5.0,0.7,Uniform,Linear_combination_crossover
381,1000000,2.0,100,0.01,0.5,Uniform,Linear_combination_crossover
382,1000000,2.0,100,0.01,0.6,Uniform,Linear_combination_crossover
383,1000000,2.0,100,0.01,0.7,Uniform,Linear_combination_crossover
384,1000000,2.0,100,0.25,0.5,Uniform,Linear_combination_crossover
385,1000000,2.0,100,0.25,0.6,Uniform,Linear_combination_crossover
386,1000000,2.0,100,0.25,0.7,Uniform,Linear_combination_crossover
387,1000000,2.0,100,0.55,0.5,Uniform,Linear_combination_crossover
388,1000000,2.0,100,0.55,0.6,Uniform,Linear_combination_crossover
