Function,Times,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F12,Times3,179.2314139646402,234.0181868018883,205.7947738108148,211.7547785379566,235.4320824854688,2.260389202474286e-05,1.666397805325507e-05,4.990078430069118e-05,151.1652454705435,186.8046165617979
F12,Times4,203.6392147972198,213.2810567271402,193.7018361295944,238.7005912353999,204.6164113303525,4.768855937969353e-05,9.67817951575419e-06,4.532786419042303e-05,215.3814199415315,138.6958151689861
F12,Times5,224.6857860521746,241.8127488447716,220.1674735215899,225.2826703256977,219.5645657931865,2.916489923938041e-05,3.85858104771178e-05,4.482594621265762e-05,175.4821264474502,188.512984067846
F12,Times6,192.6459807236168,199.5799184073933,190.3072500053059,220.1984501510977,222.7887786690859,4.317745500885337e-05,4.987560133480886e-05,1.993658168816016e-05,193.1270127203115,204.6726325705434
F12,Times7,249.8525712268345,156.3362222628134,187.3243102644346,201.6648879062998,181.111543749301,4.275222666511087e-05,4.809701869206492e-05,4.92190994777178e-05,188.1781445215873,165.643162788868
F12,Times8,255.8923709369339,218.5448262103511,178.1399358029122,179.8738746609773,168.5705934725913,3.58830976392581e-05,4.631303982438593e-05,4.871060347194305e-05,180.5777087588118,154.2218412047791
F12,Times9,188.9855709055141,198.8004947430429,220.0479091356946,203.8247856905661,168.3296818415336,3.943472240771015e-05,4.980291669323764e-05,3.663919466236107e-05,214.1287816256047,198.1836548218248
F12,Times10,212.2885809465769,181.0283808840613,215.9654965986942,260.4674557348537,212.752205232453,3.99502515488644e-05,4.861893940494492e-05,4.646718988304166e-05,213.485048224064,151.8335216625001
F13,Times1,199.468354087873,215.6652388090834,214.845908613742,189.0865534320886,176.8019707371423,4.536917807832656e-05,4.919771317886133e-05,4.780629356527662e-05,200.4865944109444,210.32603849866
F13,Times2,203.9656294551268,186.1183516588998,210.9014848567558,250.5713458575526,185.3743969293065,4.773673677320392e-05,4.6213947329725e-05,4.976979121611258e-05,186.0507859488607,199.5215328659245
F13,Times3,237.9274062318455,229.857549322732,190.9776934094319,215.43458543102,196.326168075729,4.814883650483618e-05,4.955498979827391e-05,4.955024766010941e-05,165.8788347229937,201.6797490057601
F13,Times4,185.3212768113797,187.1822921579414,178.4918201840858,228.3521771226961,197.2751848219067,4.872743051652204e-05,4.320270403698688e-05,4.611167036190122e-05,219.6444633496347,149.1991415017476
F13,Times5,247.5088852349266,202.1873621410247,186.0766536608104,183.5077539563765,218.7236855367245,4.993822626612212e-05,4.710949849006444e-05,4.098200557701388e-05,179.5409265240721,181.1613798581361
F13,Times6,230.1043975513957,167.8108943278615,176.3168548969858,207.060647991385,222.3819486456608,3.178044613370199e-05,3.429746587743612e-05,4.993273345097669e-05,231.4122434164232,180.1697025468001
F13,Times7,224.3515421445974,180.914277702327,196.5651288782639,177.5744308423222,213.4057881007754,4.990367268228835e-05,4.708090349497381e-05,4.943231394103799e-05,190.9061352025852,182.4419536393134
F13,Times8,226.127584828775,217.2215623030076,162.004175054897,205.6367796434298,196.1395348308051,2.864962303144215e-05,4.916353943362368e-05,3.049128354386729e-05,192.3042280975831,168.4408904051473
