,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,threshold,dimensions,gg,selection_method,length_of_local_search,fitness_function,algorithm
147,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baseline
148,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Lamarck
149,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baldwin
150,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baseline
151,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Lamarck
152,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baldwin
153,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baseline
154,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Lamarck
155,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baldwin
156,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baseline
157,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Lamarck
158,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baldwin
159,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baseline
160,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Lamarck
161,1000000,0.04,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baldwin
162,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,1,Baseline
163,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,1,Lamarck
164,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,1,Baldwin
165,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,5,Baseline
166,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,5,Lamarck
167,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,5,Baldwin
168,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,7,Baseline
169,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,7,Lamarck
170,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,7,Baldwin
171,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,8,Baseline
172,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,8,Lamarck
173,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,8,Baldwin
174,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,10,Baseline
175,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,10,Lamarck
176,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,10,Baldwin
177,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,13,Baseline
178,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,13,Lamarck
179,1000000,0.02,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_all,3,13,Baldwin
180,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_part,3,1,Baseline
181,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_part,3,1,Lamarck
182,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_part,3,1,Baldwin
183,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_part,3,5,Baseline
184,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.8,sorted_selection_part,3,5,Lamarck
