,ranking
864,992.0
900,993.0
201,994.0
1107,995.0
1034,996.0
851,997.0
1049,998.0
1192,999.0
846,1000.0
968,1001.0
1071,1002.0
887,1003.0
1172,1004.0
892,1005.0
1140,1006.0
1154,1007.0
1187,1008.0
814,1009.0
1053,1010.0
920,1011.0
938,1012.0
868,1013.0
1122,1014.0
1017,1015.0
1191,1016.0
1089,1017.0
1016,1018.0
1177,1019.0
1190,1020.0
673,1021.0
934,1022.0
1070,1023.0
1159,1024.0
850,1025.0
916,1026.0
872,1027.0
1139,1028.0
867,1029.0
886,1030.0
657,1031.0
1106,1032.0
813,1033.0
831,1034.0
908,1035.0
903,1036.0
836,1037.0
818,1038.0
1176,1039.0
1121,1040.0
941,1041.0
953,1042.0
882,1043.0
871,1044.0
1144,1045.0
1158,1046.0
1088,1047.0
1052,1048.0
1126,1049.0
967,1050.0
971,1051.0
835,1052.0
1175,1053.0
854,1054.0
874,1055.0
919,1056.0
834,1057.0
1195,1058.0
1143,1059.0
1125,1060.0
907,1061.0
1157,1062.0
937,1063.0
838,1064.0
930,1065.0
923,1066.0
1193,1067.0
890,1068.0
1194,1069.0
974,1070.0
849,1071.0
674,1072.0
885,1073.0
1180,1074.0
933,1075.0
1162,1076.0
1142,1077.0
817,1078.0
1124,1079.0
912,1080.0
956,1081.0
1128,1082.0
1110,1083.0
637,1084.0
1161,1085.0
1179,1086.0
940,1087.0
918,1088.0
870,1089.0
639,1090.0
856,1091.0
936,1092.0
889,1093.0
922,1094.0
1197,1095.0
1198,1096.0
944,1097.0
1160,1098.0
853,1099.0
1178,1100.0
970,1101.0
977,1102.0
906,1103.0
620,1104.0
915,1105.0
619,1106.0
816,1107.0
959,1108.0
1109,1109.0
888,1110.0
638,1111.0
952,1112.0
1127,1113.0
891,1114.0
873,1115.0
926,1116.0
855,1117.0
939,1118.0
621,1119.0
821,1120.0
1196,1121.0
921,1122.0
927,1123.0
973,1124.0
403,1125.0
601,1126.0
943,1127.0
949,1128.0
964,1129.0
925,1130.0
909,1131.0
980,1132.0
852,1133.0
962,1134.0
803,1135.0
802,1136.0
989,1137.0
837,1138.0
955,1139.0
602,1140.0
603,1141.0
942,1142.0
1075,1143.0
976,1144.0
801,1145.0
924,1146.0
986,1147.0
819,1148.0
958,1149.0
1093,1150.0
1092,1151.0
969,1152.0
1074,1153.0
966,1154.0
1057,1155.0
995,1156.0
1073,1157.0
992,1158.0
1038,1159.0
820,1160.0
975,1161.0
979,1162.0
954,1163.0
961,1164.0
985,1165.0
1091,1166.0
1039,1167.0
1056,1168.0
1037,1169.0
1021,1170.0
1055,1171.0
972,1172.0
1000,1173.0
957,1174.0
946,1175.0
994,1176.0
978,1177.0
948,1178.0
951,1179.0
963,1180.0
998,1181.0
1019,1182.0
945,1183.0
991,1184.0
1020,1185.0
983,1186.0
1001,1187.0
1003,1188.0
1002,1189.0
960,1190.0
999,1191.0
990,1192.0
988,1193.0
982,1194.0
993,1195.0
981,1196.0
984,1197.0
987,1198.0
997,1199.0
996,1200.0
